observation	title	code	cdc_text	edition	version	inactive	effectiveTime	preferred_term
057	Public safety worker exposed to blood or infection body fluids	24932003	Exposure to [contextual qualifier] [qualifier value]	International	20250201	False	None	Exposure to
057	Public safety worker exposed to blood or infection body fluids	87612001	Blood [substance]	International	20250201	False	None	Blood
057	Public safety worker exposed to blood or infection body fluids	32457005	Body fluid [substance]	International	20250201	False	None	Body fluid
059	Occupational exposure for Hepatitis A	223366009	Healthcare professional [occupation]	International	20250201	False	None	Healthcare professional
059	Occupational exposure for Hepatitis A	158942005	Residential child care worker [occupation]	International	20250201	False	None	Residential child care worker
059	Occupational exposure for Hepatitis A	158939004	Child care officer [occupation]	International	20250201	False	None	Child care officer
059	Occupational exposure for Hepatitis A	73851001	Plumber [general] [occupation]	International	20250201	False	None	Plumber (general)
059	Occupational exposure for Hepatitis A	160157004	Sewerman [occupation]	International	20250201	False	None	Sewerman
059	Occupational exposure for Hepatitis A	266006009	Food/drink processor [occupation]	International	20250201	False	None	Food and drink processor
059	Occupational exposure for Hepatitis A	274272004	Catering services occupation [occupation]	International	20250201	False	None	Catering services occupation
059	Occupational exposure for Hepatitis A	160133004	Packer - food/garden produce [occupation]	International	20250201	False	None	Packer - food/garden produce
060	Veterinarians and their staff	265940000	Animal health occupation [occupation]	International	20250201	False	None	Animal health occupation
061	Animal handlers	159091009	Trainer - performing animals [occupation]	International	20250201	False	None	Trainer - performing animals
062	Persons whose activities bring them into frequent contact with rabies virus or potentially rabid animals	24932003	Exposure to [contextual qualifier] [qualifier value]	International	20250201	False	None	Exposure to
062	Persons whose activities bring them into frequent contact with rabies virus or potentially rabid animals	59881000	Rabies virus [organism]	International	20250201	False	None	Rabies virus
063	Post secondary student	65853000	Student [occupation]	International	20250201	False	None	Student
063	Post secondary student	257561002	Further education establishment [environment]	International	20250201	False	None	Further education establishment
066	Chronic renal failure	90688005	Chronic renal failure syndrome [disorder]	International	20250201	False	None	Chronic renal failure
068	In drug abuse treatment and prevention facility	20078004	Substance abuse treatment center [environment]	International	20250201	False	None	Substance abuse treatment center
069	In correctional facility	257656006	Penal institution [environment]	International	20250201	False	None	Penal institution
070	Persons at risk during an outbreak	410519009	At risk context [qualifier value]	International	20250201	True	None	At risk
070	Persons at risk during an outbreak	443684005	Disease outbreak [event]	International	20250201	False	None	Disease outbreak
071	Household contact with hepatitis B surface antigen-positive persons	11723008	Contact with [contextual qualifier] [qualifier value]	International	20250201	False	None	Contact with
071	Household contact with hepatitis B surface antigen-positive persons	165806002	Hepatitis B surface antigen positive [finding]	International	20250201	False	None	Hepatitis B surface antigen detected
072	Intimate exposure to a documented S. typhi carrier	170484009	Typhoid carrier [finding]	International	20250201	False	None	Typhoid carrier
075	Transgender person	12271241000119109	Transgender identify [finding]	International	20250201	True	None	Transgender identity
076	Progressive neurologic disorder	84757009	Epilepsy [disorder]	International	20250201	False	None	Epilepsy
079	Encephalopathy not attributable to another identifiable cause within 7 days of administration of a previous dose of Tdap, DTP, or DTaP vaccine	192711008	Post diphtheria vaccination encephalitis [disorder]	International	20250201	False	None	Post diphtheria vaccination encephalitis
079	Encephalopathy not attributable to another identifiable cause within 7 days of administration of a previous dose of Tdap, DTP, or DTaP vaccine	192710009	Post tetanus vaccination encephalitis [disorder]	International	20250201	False	None	Post tetanus vaccination encephalitis
079	Encephalopathy not attributable to another identifiable cause within 7 days of administration of a previous dose of Tdap, DTP, or DTaP vaccine	192712001	Post pertussis vaccination encephalitis [disorder]	International	20250201	False	None	Post pertussis vaccination encephalitis
080	Adverse reaction to vaccine component	293104008	Vaccines adverse reaction [disorder]	International	20250201	False	None	Vaccine adverse reaction
081	Severe allergic reaction after previous dose of Polio	293117006	Poliomyelitis vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to poliomyelitis vaccine
082	Severe allergic reaction after previous dose of Japanese Encephalitis	451301000124103	Adverse reaction caused by Japanese encephalitis virus vaccine [disorder]	US	20250901	False	None	Adverse reaction to component of vaccine product containing Japanese encephalitis virus antigen
083	Severe allergic reaction after previous dose of Rotavirus	429301000124101	Adverse reaction to rotavirus vaccine [disorder]	US	20250901	False	None	Adverse reaction to component of Vaccine product containing Rotavirus antigen
084	Severe allergic reaction after previous dose of Typhoid	293122006	Typhoid vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to typhoid vaccine
085	Severe allergic reaction after previous dose of Influenza	420113004	Influenza virus vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to influenza virus vaccine
086	Severe allergic reaction after previous dose of Pertussis	293115003	Pertussis vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to pertussis vaccine
087	Severe allergic reaction after previous dose of Diphtheria	219085007	Adverse reaction to diphtheria vaccine [disorder]	International	20250201	False	None	Adverse reaction to diphtheria vaccine
088	Severe allergic reaction after previous dose of Tetanus	219084006	Adverse reaction to tetanus vaccine [disorder]	International	20250201	False	None	Adverse reaction to tetanus vaccine
089	Severe allergic reaction after previous dose of Varicella	451331000124106	Adverse reaction caused by varicella virus live vaccine [disorder]	US	20250901	False	None	Adverse reaction to component of vaccine product containing only live attenuated Human alphaherpesvirus 3 antigen
090	Severe allergic reaction after previous dose of HPV	429311000124103	Adverse reaction to human papillomavirus vaccine [disorder]	US	20250901	True	None	Adverse reaction to component of vaccine product containing Human papillomavirus antigen
091	Severe allergic reaction after previous dose of Measles	219096004	Adverse reaction to measles vaccine [disorder]	International	20250201	False	None	Adverse reaction to measles vaccine
092	Severe allergic reaction after previous dose of Mumps	293114004	Mumps vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to mumps vaccine
093	Severe allergic reaction after previous dose of Rubella	293119009	Rubella vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to rubella vaccine
094	Severe allergic reaction after previous dose of Pneumococcal	293116002	Pneumococcal vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to pneumococcal vaccine
095	Severe allergic reaction after previous dose of Meningococcal	219088009	Adverse reaction to meningococcal vaccine [disorder]	International	20250201	False	None	Adverse reaction to meningococcal vaccine
095	Severe allergic reaction after previous dose of Meningococcal	451111000124103	Adverse reaction caused by meningococcal conjugate vaccine [disorder]	US	20250901	False	None	Adverse reaction to component of vaccine product containing only Neisseria meningitidis conjugated antigen
096	Severe allergic reaction after previous dose of Hepatitis A	293126009	Hepatitis A vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to hepatitis A vaccine
097	Severe allergic reaction after previous dose of Hepatitis B	293110008	Hepatitis B vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to hepatitis B vaccine
098	Severe allergic reaction after previous dose of Hib	293127000	Haemophilus influenzae Type B vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to Haemophilus influenzae type b vaccine
099	Severe allergic reaction after previous dose of Yellow Fever	219095000	Adverse reaction to yellow fever vaccine [disorder]	International	20250201	False	None	Adverse reaction to yellow fever vaccine
100	Severe allergic reaction after previous dose of live zoster	451291000124104	Adverse reaction caused by zoster vaccine [disorder]	US	20250901	True	None	Adverse reaction to component of vaccine product containing Human alphaherpesvirus 3 antigen
101	Allergic reaction to egg protein	213020009	Egg protein allergy [disorder]	International	20250201	False	None	Allergy to egg protein
101	Allergic reaction to egg protein	91930004	Allergy to eggs [disorder]	International	20250201	True	None	Allergy to edible egg
102	Severe allergic reaction to gelatin	293309006	Gelatin adverse reaction [disorder]	International	20250201	False	None	Gelatin adverse reaction
102	Severe allergic reaction to gelatin	294847001	Gelatin allergy [disorder]	International	20250201	False	None	Allergy to gelatin
104	Allergic reaction to latex	300916003	Latex allergy [disorder]	International	20250201	True	None	Allergy to latex
104	Allergic reaction to latex	441593005	Anaphylaxis due to latex [disorder]	International	20250201	True	None	Anaphylaxis due to latex
106	Severe allergic reaction to gentamicin	419522004	Gentamycin sensitivity [disorder]	International	20250201	True	None	Gentamicin sensitivity
106	Severe allergic reaction to gentamicin	420094007	Gentamicin adverse reaction [disorder]	International	20250201	False	None	Gentamicin adverse reaction
106	Severe allergic reaction to gentamicin	294469003	Gentamicin allergy [disorder]	International	20250201	False	None	Allergy to gentamicin
107	Severe allergic reaction to neomycin	294468006	Neomycin allergy [disorder]	International	20250201	False	None	Allergy to neomycin
107	Severe allergic reaction to neomycin	292927007	Neomycin adverse reaction [disorder]	International	20250201	False	None	Neomycin adverse reaction
108	Severe allergic reaction to streptomycin	294466005	Streptomycin allergy [disorder]	International	20250201	False	None	Allergy to streptomycin
108	Severe allergic reaction to streptomycin	292925004	Streptomycin adverse reaction [disorder]	International	20250201	False	None	Streptomycin adverse reaction
109	Severe allergic reaction to polymyxin B	294530006	Polymyxin B allergy [disorder]	International	20250201	False	None	Allergy to polymyxin B
109	Severe allergic reaction to polymyxin B	292992006	Polymyxin B adverse reaction [disorder]	International	20250201	False	None	Polymyxin B adverse reaction
110	Hypersensitivity to yeast	703936006	Allergy to yeast [disorder]	International	20250201	True	None	Allergy to yeast antigen
113	Severe allergic reaction after previous dose of Rabies	293118001	Rabies vaccine adverse reaction [disorder]	International	20250201	False	None	Adverse reaction to rabies vaccine
114	End stage renal disease	46177005	End stage renal disease [disorder]	International	20250201	False	None	End-stage renal disease
114	End stage renal disease	443143006	Dependence on hemodialysis [finding]	International	20250201	False	None	Dependence on haemodialysis
114	End stage renal disease	714749008	Continuous renal replacement therapy [procedure]	International	20250201	False	None	Continuous renal replacement therapy
115	Severe allergic reaction to protamine sulfate	64520006	Protamine sulfate [substance]	International	20250201	False	None	Protamine sulfate
115	Severe allergic reaction to protamine sulfate	294278007	Protamine allergy [disorder]	International	20250201	False	None	Allergy to protamine
