descendant	ancestor	display
52048004	128292002	Rheumatic pulmonary valve failure
52535005	128292002	Chronic constrictive pericarditis
56253000	128292002	Parapsoriasis en plaques
56453003	128292002	Hereditary cerebral amyloid angiopathy, Dutch type
57246001	128292002	Chronic gastric ulcer with hemorrhage
59356009	128292002	Chronic gastrojejunal ulcer with hemorrhage but without perforation
59464004	128292002	Rheumatic mitral AND aortic valve regurgitation
61012002	128292002	Chronic rheumatic myocarditis
62838000	128292002	Chronic gastrojejunal ulcer with hemorrhage
64146000	128292002	Progressive pigmentary dermatosis of Schamberg
66989003	128292002	Chronic right-sided congestive heart failure
67696008	128292002	Rheumatic tricuspid valve regurgitation
71799002	128292002	Rheumatic mitral valve stenosis AND aortic valve insufficiency
72011007	128292002	Rheumatic aortic stenosis
72585000	128292002	Parkinsonian syndrome with idiopathic orthostatic hypotension
74341002	128292002	Chronic gastric ulcer with hemorrhage AND with perforation but without obstruction
75181005	128292002	Chronic orthostatic hypotension
76078009	128292002	Chronic gastric ulcer with hemorrhage but without obstruction
76181002	128292002	Chronic gastric ulcer with hemorrhage and with perforation
77545000	128292002	Chronic hypotension
78031003	128292002	Rheumatic aortic regurgitation
78069008	128292002	Chronic rheumatic pericarditis
79955004	128292002	Chronic cor pulmonale
81552002	128292002	Rheumatic mitral valve insufficiency and aortic valve stenosis
82523003	128292002	Congestive rheumatic heart failure
83014000	128292002	MacCallum's patch
83898004	128292002	Rheumatic disease of mitral valve
84438001	128292002	Pure autonomic failure
85787009	128292002	Chronic gastric ulcer with hemorrhage, with perforation and with obstruction
85859006	128292002	Chronic gastric ulcer with hemorrhage and with obstruction
85971001	128292002	Rheumatic pulmonary valve stenosis with insufficiency
86466006	128292002	Rheumatic mitral stenosis
88318005	128292002	Rheumatic tricuspid valve stenosis
88805009	128292002	Chronic congestive heart failure
89456004	128292002	Chronic rheumatic valvulitis
90257004	128292002	Chronic gastrojejunal ulcer with hemorrhage and obstruction
90453003	128292002	Chronic rheumatic mediastinopericarditis
91442002	128292002	Rheumatic pulmonary valve stenosis
91529004	128292002	Rheumatic heart valve failure
92808004	128292002	Chronic degenerative aortic valve disease
95657009	128292002	Chronic mixed headache syndrome
111199007	128292002	Purpura pigmentosa chronica
111283005	128292002	Chronic left-sided heart failure
111298007	128292002	Chronic cerebral ischemia
111354009	128292002	Chronic vascular insufficiency of intestine
128238001	128292002	Chronic heart disease
194741006	128292002	Rheumatic tricuspid stenosis and insufficiency
197712008	128292002	Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis
233819005	128292002	Stable angina
233880002	128292002	Chronic myocardial disorder caused by chemical or external agent
233886008	128292002	Chronic infective pericarditis
233887004	128292002	Chronic cholesterol pericardial effusion
233947005	128292002	Chronic thromboembolic pulmonary hypertension
238782003	128292002	Lichen aureus
238783008	128292002	Familial pigmented purpuric eruption
240077004	128292002	Severe scapuloperoneal muscular dystrophy with cardiomyopathy
241154007	128292002	Abdominal angina
250999000	128292002	Rheumatic mitral valve leaflet changes
254782003	128292002	Multiple progressive hemangiomata
266520007	128292002	Chronic gastrointestinal tract vascular insufficiency
286947004	128292002	Chronic rheumatic mitral valvulitis
286963007	128292002	Idiopathic chronic hypotension
370141003	128292002	Rheumatic mitral AND aortic valve obstruction
371806006	128292002	Progressive angina
402416000	128292002	Urticarial vasculitis with monoclonal IgM component, Schnitzler
405810005	128292002	Cogan's syndrome
413838009	128292002	Chronic ischemic heart disease
413844008	128292002	Chronic myocardial ischemia
423674003	128292002	Chronic peripheral venous hypertension
424404003	128292002	Decompensated chronic heart failure
425453009	128292002	Chronic nontraumatic dissection of thoracic aorta
425615007	128292002	Chronic atrial flutter
426749004	128292002	Chronic atrial fibrillation
427419006	128292002	Transformed migraine
429347004	128292002	Rheumatic aortic valve sclerosis
